client_id,timestamp,network_speed,packet_loss,jitter,backoff_time
client1,1,33,5,0,165
client1,2,60,3,3,183
client1,3,10,5,1,51
client1,4,90,5,1,451
client1,5,55,3,10,175
client1,6,82,4,1,329
client1,7,46,2,3,95
client1,8,77,8,7,623
client1,9,28,4,3,115
client1,10,44,2,7,95
client1,11,12,4,10,58
client1,12,89,6,5,539
client1,13,6,1,5,11
client1,14,3,0,10,10
client1,15,49,6,5,299
client1,16,81,5,5,410
client1,17,36,0,8,8
client1,18,56,10,4,564
client1,19,29,6,8,182
client1,20,17,8,9,145
client1,21,29,5,9,154
client1,22,89,9,1,802
client1,23,12,8,3,99
client1,24,3,7,9,30
client1,25,82,5,0,410
client1,26,12,10,0,120
client1,27,72,7,3,507
client1,28,25,10,9,259
client1,29,58,4,1,233
client1,30,86,9,6,780
client1,31,54,8,2,434
client1,32,7,1,5,12
client1,33,47,7,1,330
client1,34,32,0,2,2
client1,35,65,9,6,591
client1,36,13,10,0,130
client1,37,84,2,5,173
client1,38,83,8,6,670
client1,39,67,1,10,77
client1,40,7,6,1,43
client1,41,38,0,0,0
client1,42,37,5,7,192
client1,43,23,8,1,185
client1,44,72,4,0,288
client1,45,100,7,3,703
client1,46,97,0,7,7
client1,47,50,6,10,310
client1,48,11,8,5,93
client1,49,9,9,1,82
client1,50,14,1,3,17
client1,51,52,0,10,10
client1,52,90,10,8,908
client1,53,5,0,3,3
client1,54,78,7,6,552
client1,55,16,1,3,19
client1,56,41,6,3,249
client1,57,46,2,5,97
client1,58,13,9,9,126
client1,59,31,2,2,64
client1,60,86,8,7,695
client1,61,30,1,4,34
client1,62,21,2,9,51
client1,63,57,4,10,238
client1,64,49,4,6,202
client1,65,38,1,9,47
client1,66,82,3,5,251
client1,67,22,1,3,25
client1,68,93,10,8,938
client1,69,34,2,1,69
client1,70,80,6,9,489
client1,71,19,4,7,83
client1,72,66,9,4,598
client1,73,12,7,5,89
client1,74,78,1,7,85
client1,75,89,9,8,809
client1,76,87,6,8,530
client1,77,41,1,5,46
client1,78,91,3,1,274
client1,79,81,6,7,493
client1,80,2,0,6,6
client1,81,23,8,4,188
client1,82,29,8,10,242
client1,83,19,5,3,98
client1,84,98,1,1,99
client1,85,30,7,3,213
client1,86,8,3,6,30
client1,87,92,0,0,0
client1,88,0,10,4,4
client1,89,95,2,9,199
client1,90,85,6,8,518
client1,91,73,4,6,298
client1,92,4,0,2,2
client1,93,14,7,0,98
client1,94,14,9,0,126
client1,95,29,5,8,153
client1,96,97,4,9,397
client1,97,26,10,8,268
client1,98,0,3,5,5
client1,99,95,6,1,571
client1,100,34,5,9,179
client2,1,75,2,0,150
client2,2,12,6,5,77
client2,3,7,7,1,50
client2,4,54,4,7,223
client2,5,69,5,3,348
client2,6,19,8,10,162
client2,7,13,0,2,2
client2,8,94,1,10,104
client2,9,14,3,10,52
client2,10,34,9,8,314
client2,11,31,1,5,36
client2,12,80,10,9,809
client2,13,56,2,8,120
client2,14,1,4,1,5
client2,15,69,3,5,212
client2,16,38,4,6,158
client2,17,43,7,7,308
client2,18,17,6,4,106
client2,19,69,1,2,71
client2,20,16,3,7,55
client2,21,19,1,5,24
client2,22,0,5,0,0
client2,23,59,0,7,7
client2,24,32,8,9,265
client2,25,51,6,0,306
client2,26,16,9,3,147
client2,27,79,4,8,324
client2,28,5,6,3,33
client2,29,9,8,1,73
client2,30,45,8,3,363
client2,31,54,5,2,272
client2,32,55,5,2,277
client2,33,37,3,8,119
client2,34,69,9,5,626
client2,35,10,10,4,104
client2,36,74,10,1,741
client2,37,58,6,9,357
client2,38,24,4,8,104
client2,39,23,7,6,167
client2,40,41,4,3,167
client2,41,98,5,5,495
client2,42,92,6,7,559
client2,43,69,1,9,78
client2,44,42,4,2,170
client2,45,86,8,6,694
client2,46,67,8,5,541
client2,47,25,6,5,155
client2,48,82,5,0,410
client2,49,53,8,6,430
client2,50,23,7,7,168
client2,51,54,0,1,1
client2,52,42,9,6,384
client2,53,44,8,2,354
client2,54,2,8,1,17
client2,55,25,6,5,155
client2,56,15,7,5,110
client2,57,62,2,6,130
client2,58,93,9,8,845
client2,59,63,9,0,567
client2,60,11,0,3,3
client2,61,89,3,0,267
client2,62,95,4,6,386
client2,63,81,5,10,415
client2,64,10,1,5,15
client2,65,91,5,5,460
client2,66,57,3,0,171
client2,67,20,3,10,70
client2,68,55,7,4,389
client2,69,88,10,4,884
client2,70,47,0,8,8
client2,71,12,0,5,5
client2,72,94,3,2,284
client2,73,22,3,1,67
client2,74,85,3,1,256
client2,75,47,3,0,141
client2,76,66,7,6,468
client2,77,82,2,8,172
client2,78,23,9,7,214
client2,79,44,3,1,133
client2,80,82,1,0,82
client2,81,5,5,5,30
client2,82,30,8,7,247
client2,83,63,3,6,195
client2,84,81,1,2,83
client2,85,80,7,4,564
client2,86,94,10,10,950
client2,87,31,0,9,9
client2,88,67,9,0,603
client2,89,17,9,6,159
client2,90,91,4,0,364
client2,91,36,0,10,10
client2,92,60,7,10,430
client2,93,5,9,9,54
client2,94,99,8,10,802
client2,95,70,5,3,353
client2,96,54,4,2,218
client2,97,68,3,6,210
client2,98,27,2,10,64
client2,99,48,3,7,151
client2,100,50,7,5,355
client3,1,46,7,1,323
client3,2,43,8,8,352
client3,3,39,10,4,394
client3,4,99,9,4,895
client3,5,88,6,10,538
client3,6,49,3,7,154
client3,7,54,5,4,274
client3,8,30,6,6,186
client3,9,77,8,9,625
client3,10,65,2,8,138
client3,11,69,0,2,2
client3,12,64,3,6,198
client3,13,84,4,8,344
client3,14,86,9,8,782
client3,15,9,1,2,11
client3,16,48,4,7,199
client3,17,22,3,0,66
client3,18,22,1,3,25
client3,19,78,2,5,161
client3,20,61,2,0,122
client3,21,7,6,2,44
client3,22,28,10,3,283
client3,23,45,3,9,144
client3,24,91,8,2,730
client3,25,1,9,8,17
client3,26,21,5,9,114
client3,27,100,3,5,305
client3,28,70,8,1,561
client3,29,82,7,5,579
client3,30,16,3,4,52
client3,31,45,7,0,315
client3,32,72,1,1,73
client3,33,16,9,9,153
client3,34,16,8,8,136
client3,35,32,5,7,167
client3,36,92,7,5,649
client3,37,72,5,0,360
client3,38,59,7,0,413
client3,39,22,4,10,98
client3,40,14,0,0,0
client3,41,76,3,7,235
client3,42,3,10,8,38
client3,43,84,1,9,93
client3,44,60,4,9,249
client3,45,84,9,5,761
client3,46,99,4,1,397
client3,47,47,7,3,332
client3,48,33,8,3,267
client3,49,31,7,6,223
client3,50,23,8,4,188
client3,51,89,2,2,180
client3,52,41,1,8,49
client3,53,38,3,6,120
client3,54,79,9,4,715
client3,55,36,8,1,289
client3,56,33,4,5,137
client3,57,38,5,8,198
client3,58,73,7,7,518
client3,59,21,3,0,63
client3,60,80,9,1,721
client3,61,93,9,3,840
client3,62,8,6,5,53
client3,63,21,6,4,130
client3,64,35,1,8,43
client3,65,63,8,0,504
client3,66,41,6,8,254
client3,67,76,3,0,228
client3,68,60,6,0,360
client3,69,49,8,7,399
client3,70,95,3,4,289
client3,71,57,7,1,400
client3,72,24,0,9,9
client3,73,95,10,0,950
client3,74,27,3,0,81
client3,75,14,1,0,14
client3,76,20,8,7,167
client3,77,86,6,3,519
client3,78,43,1,5,48
client3,79,47,10,5,475
client3,80,44,5,1,221
client3,81,10,1,9,19
client3,82,80,10,6,806
client3,83,29,8,5,237
client3,84,69,3,10,217
client3,85,58,3,3,177
client3,86,98,10,10,990
client3,87,65,4,10,270
client3,88,8,10,0,80
client3,89,48,5,9,249
client3,90,99,1,7,106
client3,91,20,7,1,141
client3,92,53,2,1,107
client3,93,11,10,5,115
client3,94,36,3,9,117
client3,95,33,2,3,69
client3,96,80,0,4,4
client3,97,14,10,2,142
client3,98,68,9,6,618
client3,99,12,9,6,114
client3,100,84,2,2,170
